128,Oceanside,Station,Ground Floor,Ticket Office
198,Oyster Bay,Capital Trailer,Ground Floor,Rack,
191,Oyster Bay,MofE Structure,Ground Floor,Comm. Room,
129,Oyster Bay,Station,Ground Floor,Ticket Office,
295,Oyster Bay,Welfare,Ground Floor,Rack,
132,Patchogue,Station,Ground Floor,Ticket Office,
354,Patchogue,Station,Ground Floor,Trainmans Room,
46,Patchogue,Tower,Ground Floor,Comm. Room,PD Tower
369,NYC,Penn Station,One Penn Plaza,Wang Room,
384,NYC,Penn Station,Concourse,Station Master,
166,NYC,Penn Station,Concourse,Ticket Office,
312,Pine Aire,Trailer,1st Floor,Comm. Room,
130,Plandome,Station,Ground Floor,Ticket Office,
32,Port Jefferson,Capital Trailer,Ground Floor,Rack,
194,Port Jefferson,MofE Structure,Ground Floor,Rack,
131,Port Jefferson,Station,Ground Floor,Ticket Office,
33,Port Jefferson,Station,Ground Floor,Comm. Room,
75,Port Jefferson,Welfare,Ground Floor,Rack,
25,Port Washington,MofE Structure,Ground Floor,Telephone Closet,
133,Port Washington,Station,Ground Floor,Ticket Office,
134,Port Washington,Station,Ground Floor,Ticket Office,
302,Port Washington,Transportation Bldg,1st Floor,Trans Mgr Office,
386,Queens,Freight,1st Floor,Trailer,
136,Queens,Station,Ground Floor,Ticket Office,
73,Queens,Tower,Ground Floor,Rack,Queens Tower
352,Richmond Hill,Sheridan,1st Floor,Implant,
83,Richmond Hill,Sheridan,Basement,Rack,
231,Richmond Hill,Signal Structure,Ground Floor,Office,
28,Richmond Hill,Signal Trailer,Ground Floor,Telephone Closet,
84,Richmond Hill,Trailer,Ground Floor,Rack,
82,Richmond Hill,Welfare,Ground Floor,Rack,
355,Riverhead,Trailer,Ground Floor,Comm. Room,
135,Rockville Centre,Station,Ground Floor,Ticket Office,
379,Ronkonkoma,Car Wash,1st Floor,Office
67,Ronkonkoma,Police,Ground Floor,Rack
226,Ronkonkoma,Station,Ground Floor,Ticket Office
368,Ronkonkoma,Train Wash,1st Floor,Center Console
381,Ronkonkoma,Training Trailer,1st Floor,Office
51,Ronkonkoma,Welfare,Ground Floor,Rack
138,Rosedale,Station,Ground Floor,Ticket Office
175,Roslyn,Station,Ground Floor,Ticket Office
139,Sayville,Station,Ground Floor,Ticket Office
140,Sea Cliff,Station,Ground Floor,Ticket Office
385,Seaford,Capital Trailer,1st Floor,Office
141,Seaford,Station,Ground Floor,Ticket Office
353,Shea,Stadium,Ground Floor,Rack
144,Smithtown,Station,Ground Floor,Ticket Office
145,South Hampton,Station,Ground Floor,Ticket Office
383,Speonk,Station,Platform,Comm Box
39,Speonk,Welfare,Ground Floor,Rack,
334,St. Albans,Station,Track,Enclosure,
146,St. James,Station,Ground Floor,Ticket Office,
149,Stewart Manor,Station,Ground Floor,Ticket Office,
147,Stony Brook,Station,Ground Floor,Ticket Office,
86,Sunnyside,Harold Tower,Ground Floor,Rack,Harold Tower
88,Sunnyside,Q Tower,Ground Floor,Rack,Q Tower
87,Sunnyside,R Tower,Ground Floor,Rack,R Tower
148,Syosset,Station,Ground Floor,Ticket Office,
348,Union,Tower,Ground Floor,Comm. Room,
59,Valley Stream,Signal Trailer,Ground Floor,Rack,
157,Valley Stream,Station,Ground Floor,Ticket Office,
58,Valley Stream,Tower,Ground Floor,Rack,Valley Tower
364,Valley Stream,Welfare,Ground Floor,Comm. Room,
367,Valley Stream,Welfare,Module 1,Office,
300,Verizon,Genuity,Ground Floor,Rack,
290,Verizon,ISDN Network,Ground Floor,Rack,
376,Verizon,ISP,Ground Floor,Comm. Room,
283,Wantagh,Capital Building,Ground Floor,Office,
158,Wantagh,Station,Ground Floor,Ticket Office,
36,West Hampton,Station,Ground Floor,Ticket Office,
160,West Hempstead,Station,Ground Floor,Ticket Office,
293,Westbury,Station,Ground Floor,Ticket Office,
322,Westwood,Station,Track,Enclosure,
165,Woodmere,Station,Ground Floor,Ticket Office,
162,Woodside,Station,Ground Floor,Ticket Office,
202,WSY,CAM,Ground Floor,Rack,
209,WSY,MofE Structure,Ground Floor,Rack,
203,WSY,Shop,Ground Floor,Rack,
210,WSY,Tower,2nd Floor,Comm. Room,WSY Tower
164,Wyandanch,Station,Ground Floor,Ticket Office,
