113,172.18.11.0,172018011000.00,5,,Lindenhurst TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.11.1,0,0,0
114,172.18.11.128,172018011128.00,5,,Locust Valley TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.11.129,0,0,0
115,172.18.11.192,172018011192.00,5,,Long Beach TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.11.193,0,0,0
116,172.18.11.64,172018011064.00,5,,Little Neck TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.11.65,0,0,0
117,172.18.12.0,172018012000.00,5,,Lynbrook TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.12.1,0,0,0
118,172.18.12.128,172018012128.00,5,,Massapequa TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.12.129,0,0,0
119,172.18.12.192,172018012192.00,5,,Massapequa Park TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.12.193,0,0,0
120,172.18.12.64,172018012064.00,5,,Manhasset TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.12.65,0,0,0
121,172.18.13.0,172018013000.00,5,,Merrick TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.13.1,0,0,0
122,172.18.13.128,172018013128.00,5,,Nassau Blvd TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.13.129,0,0,0
123,172.18.13.192,172018013192.00,5,,New Hyde Park TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.13.193,0,0,0
125,172.18.14.0,172018014000.00,5,,Northport TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.14.1,0,0,0
127,172.18.14.192,172018014192.00,5,,Oceanside TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.14.193,0,0,0
128,172.18.15.0,172018015000.00,5,,Oyster Bay TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.15.1,0,0,0
129,172.18.15.128,172018015128.00,5,,Plandome TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.15.129,0,0,0
131,172.18.15.64,172018015064.00,5,,Patchogue TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.15.65,0,0,0
132,172.18.16.0,172018016000.00,5,,Port Washington TSM LAN,6,1,5/23/2001 0:00:00,0,,0,172.18.16.1,0,0,0
